[28-06-2025 11:12:44.018 PM] Cpu Usage: 54%, Threshold set: 85%
[28-06-2025 11:14:17.018 PM] Cpu Usage: 51%, Threshold set: 85%
[28-06-2025 11:14:18.018 PM] Cpu Usage: 40%, Threshold set: 85%
[28-06-2025 11:14:19.018 PM] Cpu Usage: 4%, Threshold set: 85%
[28-06-2025 11:14:20.018 PM] Cpu Usage: 97%, Threshold set: 85%
[28-06-2025 11:14:21.018 PM] Cpu Usage: 68%, Threshold set: 85%
[28-06-2025 11:14:22.018 PM] Cpu Usage: 14%, Threshold set: 85%
[28-06-2025 11:14:23.018 PM] Cpu Usage: 36%, Threshold set: 85%
[28-06-2025 11:14:24.018 PM] Cpu Usage: 22%, Threshold set: 85%
[28-06-2025 11:14:25.018 PM] Cpu Usage: 54%, Threshold set: 85%
[28-06-2025 11:14:26.018 PM] Cpu Usage: 7%, Threshold set: 85%
[28-06-2025 11:14:27.018 PM] Cpu Usage: 19%, Threshold set: 85%
[28-06-2025 11:14:28.018 PM] Cpu Usage: 81%, Threshold set: 85%
[28-06-2025 11:14:29.018 PM] Cpu Usage: 78%, Threshold set: 85%
[28-06-2025 11:14:30.018 PM] Cpu Usage: 24%, Threshold set: 85%
[28-06-2025 11:14:31.018 PM] Cpu Usage: 86%, Threshold set: 85%
